#IID	Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption	isFemale_num
HG01849	HG01849	KHV	EAS	False	True	6	0
HG01857	HG01857	KHV	EAS	True	True	7	1
HG01863	HG01863	KHV	EAS	True	False	6	1
HG01874	HG01874	KHV	EAS	True	False	7	1
HG01915	HG01915	ACB	AFR	True	True	3	1
HG01924	HG01924	PEL	AMR	True	True	5	1
HG01965	HG01965	PEL	AMR	True	True	6	1
HG01970	HG01970	PEL	AMR	False	False	5	0
HG01991	HG01991	PEL	AMR	False	False	6	0
HG02010	HG02010	ACB	AFR	True	True	4	1
HG02020	HG02020	KHV	EAS	False	False	5	0
HG02054	HG02054	ACB	AFR	True	True	4	1
HG02086	HG02086	KHV	EAS	True	True	4	1
HG02087	HG02087	KHV	EAS	True	True	5	1
HG02116	HG02116	KHV	EAS	False	True	8	0
HG02122	HG02122	KHV	EAS	False	True	3	0
HG02130	HG02130	KHV	EAS	True	True	4	1
HG02131	HG02131	KHV	EAS	False	False	4	0
HG02152	HG02152	CDX	EAS	True	True	4	1
HG02154	HG02154	CDX	EAS	True	True	7	1
HG02165	HG02165	CDX	EAS	True	False	5	1
HG02224	HG02224	IBS	EUR	False	True	4	0
HG02232	HG02232	IBS	EUR	True	True	2	1
HG02236	HG02236	IBS	EUR	False	True	6	0
HG02250	HG02250	CDX	EAS	False	True	7	0
HG02259	HG02259	PEL	AMR	False	True	6	0
HG02298	HG02298	PEL	AMR	True	True	5	1
HG02318	HG02318	ACB	AFR	True	True	3	1
HG02345	HG02345	PEL	AMR	True	False	3	1
HG02351	HG02351	CDX	EAS	False	False	4	0
HG02363	HG02363	CDX	EAS	False	False	5	0
HG02373	HG02373	CDX	EAS	False	True	5	0
HG02383	HG02383	CDX	EAS	False	False	5	0
HG02384	HG02384	CDX	EAS	False	True	5	0
HG02386	HG02386	CDX	EAS	False	True	6	0
HG02388	HG02388	CDX	EAS	False	False	4	0
HG02389	HG02389	CDX	EAS	False	False	5	0
HG02397	HG02397	CDX	EAS	False	False	7	0
HG02419	HG02419	ACB	AFR	True	False	2	1
HG02462	HG02462	GWD	AFR	True	True	3	1
HG02464	HG02464	GWD	AFR	False	False	3	0
HG02497	HG02497	ACB	AFR	True	True	2	1
HG02511	HG02511	ACB	AFR	True	False	3	1
HG02521	HG02521	KHV	EAS	False	False	6	0
HG02561	HG02561	GWD	AFR	False	True	4	0
HG02574	HG02574	GWD	AFR	True	True	2	1
HG02580	HG02580	ACB	AFR	True	True	6	1
HG02595	HG02595	GWD	AFR	True	True	5	1
HG02603	HG02603	PJL	SAS	False	True	3	0
HG02629	HG02629	GWD	AFR	True	True	4	1
HG02651	HG02651	PJL	SAS	False	True	7	0
HG02682	HG02682	PJL	SAS	True	False	6	1
HG02688	HG02688	PJL	SAS	True	True	7	1
HG02690	HG02690	PJL	SAS	False	False	6	0
HG02699	HG02699	PJL	SAS	False	False	3	0
HG02760	HG02760	GWD	AFR	True	False	4	1
HG02768	HG02768	GWD	AFR	False	True	2	0
HG02771	HG02771	GWD	AFR	False	True	2	0
HG02792	HG02792	PJL	SAS	False	False	5	0
HG02798	HG02798	GWD	AFR	False	False	6	0
HG02811	HG02811	GWD	AFR	True	True	7	1
HG02814	HG02814	GWD	AFR	True	True	8	1
HG02840	HG02840	GWD	AFR	True	True	6	1
HG02870	HG02870	GWD	AFR	True	True	2	1
HG02881	HG02881	GWD	AFR	False	True	3	0
HG02970	HG02970	ESN	AFR	True	False	2	1
HG02973	HG02973	ESN	AFR	False	False	0	0
HG03009	HG03009	BEB	SAS	False	True	5	0
HG03046	HG03046	GWD	AFR	True	True	7	1
HG03074	HG03074	MSL	AFR	False	False	5	0
HG03091	HG03091	MSL	AFR	True	False	1	1
HG03105	HG03105	ESN	AFR	True	False	4	1
HG03127	HG03127	ESN	AFR	False	False	3	0
HG03193	HG03193	ESN	AFR	False	False	2	0
HG03224	HG03224	MSL	AFR	False	True	4	0
HG03237	HG03237	PJL	SAS	False	False	6	0
HG03241	HG03241	GWD	AFR	True	False	5	1
HG03247	HG03247	GWD	AFR	True	False	4	1
HG03259	HG03259	GWD	AFR	True	False	4	1
HG03267	HG03267	ESN	AFR	True	True	1	1
HG03354	HG03354	ESN	AFR	True	False	5	1
HG03366	HG03366	ESN	AFR	True	False	5	1
HG03367	HG03367	ESN	AFR	False	False	3	0
HG03380	HG03380	MSL	AFR	True	False	1	1
HG03419	HG03419	MSL	AFR	True	False	1	1
HG03449	HG03449	MSL	AFR	True	False	4	1
HG03451	HG03451	MSL	AFR	False	False	3	0
HG03458	HG03458	MSL	AFR	True	False	2	1
HG03490	HG03490	PJL	SAS	False	False	4	0
HG03491	HG03491	PJL	SAS	True	True	2	1
HG03511	HG03511	ESN	AFR	True	False	1	1
HG03556	HG03556	MSL	AFR	False	False	3	0
HG03563	HG03563	MSL	AFR	True	True	3	1
HG03598	HG03598	BEB	SAS	True	True	4	1
HG03603	HG03603	BEB	SAS	False	True	4	0
HG03607	HG03607	BEB	SAS	True	False	5	1
HG03636	HG03636	PJL	SAS	False	True	6	0
HG03684	HG03684	STU	SAS	True	False	5	1
HG03686	HG03686	STU	SAS	False	True	4	0
HG03690	HG03690	STU	SAS	True	True	5	1
HG03731	HG03731	ITU	SAS	True	True	0	1
HG03740	HG03740	STU	SAS	False	True	4	0
HG03755	HG03755	STU	SAS	False	True	5	0
HG03800	HG03800	BEB	SAS	False	True	4	0
HG03815	HG03815	BEB	SAS	False	False	3	0
HG03832	HG03832	BEB	SAS	True	False	3	1
HG03850	HG03850	STU	SAS	False	False	4	0
HG03873	HG03873	ITU	SAS	True	False	4	1
HG03897	HG03897	STU	SAS	True	False	3	1
HG03905	HG03905	BEB	SAS	False	False	5	0
HG03937	HG03937	BEB	SAS	True	True	6	1
HG03948	HG03948	STU	SAS	True	True	5	1
HG03973	HG03973	ITU	SAS	True	True	3	1
HG04054	HG04054	ITU	SAS	True	True	5	1
HG04059	HG04059	ITU	SAS	True	True	4	1
HG04063	HG04063	ITU	SAS	True	False	4	1
HG04096	HG04096	ITU	SAS	False	False	6	0
HG04099	HG04099	STU	SAS	True	True	3	1
HG04140	HG04140	BEB	SAS	False	False	5	0
HG04171	HG04171	BEB	SAS	True	True	5	1
HG04209	HG04209	ITU	SAS	True	True	4	1
HG04210	HG04210	STU	SAS	False	False	5	0
HG04229	HG04229	STU	SAS	False	False	3	0
HG04239	HG04239	ITU	SAS	False	True	5	0
NA07347	NA07347	CEU	EUR	False	False	4	0
NA11918	NA11918	CEU	EUR	True	False	6	1
NA11919	NA11919	CEU	EUR	False	True	5	0
NA12045	NA12045	CEU	EUR	False	True	7	0
NA12273	NA12273	CEU	EUR	True	True	5	1
NA12342	NA12342	CEU	EUR	False	True	6	0
NA12414	NA12414	CEU	EUR	True	True	6	1
NA12546	NA12546	CEU	EUR	False	True	4	0
NA12760	NA12760	CEU	EUR	False	False	4	0
NA12878	NA12878	CEU	EUR	True	True	5	1
NA18516	NA18516	YRI	AFR	False	True	3	0
NA18525	NA18525	CHB	EAS	True	False	5	1
NA18534	NA18534	CHB	EAS	False	False	6	0
NA18541	NA18541	CHB	EAS	True	False	5	1
NA18557	NA18557	CHB	EAS	False	False	4	0
NA18565	NA18565	CHB	EAS	True	True	3	1
NA18616	NA18616	CHB	EAS	True	True	8	1
NA18619	NA18619	CHB	EAS	True	False	2	1
NA18623	NA18623	CHB	EAS	False	True	4	0
NA18630	NA18630	CHB	EAS	True	True	4	1
NA18631	NA18631	CHB	EAS	True	False	6	1
NA18740	NA18740	CHB	EAS	False	True	8	0
NA18853	NA18853	YRI	AFR	False	True	4	0
NA18865	NA18865	YRI	AFR	False	False	3	0
NA18873	NA18873	YRI	AFR	True	False	4	1
NA18874	NA18874	YRI	AFR	False	True	3	0
NA18916	NA18916	YRI	AFR	True	False	2	1
NA18960	NA18960	JPT	EAS	False	True	5	0
NA18966	NA18966	JPT	EAS	False	True	6	0
NA18975	NA18975	JPT	EAS	True	True	6	1
NA18976	NA18976	JPT	EAS	True	False	4	1
NA18978	NA18978	JPT	EAS	True	False	3	1
NA18990	NA18990	JPT	EAS	False	False	5	0
NA19060	NA19060	JPT	EAS	False	False	7	0
NA19063	NA19063	JPT	EAS	False	False	4	0
NA19076	NA19076	JPT	EAS	False	False	2	0
NA19086	NA19086	JPT	EAS	False	True	5	0
NA19087	NA19087	JPT	EAS	True	False	5	1
NA19096	NA19096	YRI	AFR	False	False	6	0
NA19113	NA19113	YRI	AFR	False	False	3	0
NA19118	NA19118	YRI	AFR	True	True	2	1
NA19185	NA19185	YRI	AFR	True	False	4	1
NA19209	NA19209	YRI	AFR	True	False	4	1
NA19311	NA19311	LWK	AFR	False	True	6	0
NA19314	NA19314	LWK	AFR	True	False	5	1
NA19317	NA19317	LWK	AFR	False	True	6	0
NA19321	NA19321	LWK	AFR	True	True	5	1
NA19379	NA19379	LWK	AFR	True	False	7	1
NA19384	NA19384	LWK	AFR	False	False	2	0
NA19390	NA19390	LWK	AFR	True	False	4	1
NA19397	NA19397	LWK	AFR	False	False	2	0
NA19399	NA19399	LWK	AFR	True	False	1	1
NA19404	NA19404	LWK	AFR	True	True	5	1
NA19446	NA19446	LWK	AFR	True	False	3	1
NA19448	NA19448	LWK	AFR	False	False	5	0
NA19455	NA19455	LWK	AFR	False	True	3	0
NA19456	NA19456	LWK	AFR	True	False	5	1
NA19466	NA19466	LWK	AFR	False	True	2	0
NA19655	NA19655	MXL	AMR	False	True	4	0
NA19657	NA19657	MXL	AMR	True	True	9	1
NA19670	NA19670	MXL	AMR	False	False	6	0
NA19678	NA19678	MXL	AMR	True	False	4	1
NA19679	NA19679	MXL	AMR	False	False	3	0
NA19701	NA19701	ASW	AFR	True	False	4	1
NA19720	NA19720	MXL	AMR	False	True	4	0
NA19756	NA19756	MXL	AMR	False	False	6	0
NA19761	NA19761	MXL	AMR	True	False	6	1
NA19764	NA19764	MXL	AMR	True	True	7	1
NA19786	NA19786	MXL	AMR	False	True	6	0
NA20318	NA20318	ASW	AFR	False	False	6	0
NA20351	NA20351	ASW	AFR	False	True	3	0
NA20517	NA20517	TSI	EUR	True	True	4	1
NA20518	NA20518	TSI	EUR	False	False	3	0
NA20529	NA20529	TSI	EUR	True	False	6	1
NA20587	NA20587	TSI	EUR	True	False	6	1
NA20757	NA20757	TSI	EUR	True	False	3	1
NA20798	NA20798	TSI	EUR	False	True	4	0
NA20799	NA20799	TSI	EUR	True	True	4	1
NA20800	NA20800	TSI	EUR	True	True	2	1
NA20810	NA20810	TSI	EUR	False	True	4	0
NA20826	NA20826	TSI	EUR	True	True	6	1
NA20858	NA20858	GIH	SAS	False	True	7	0
NA20864	NA20864	GIH	SAS	False	True	4	0
NA20869	NA20869	GIH	SAS	True	False	5	1
NA20877	NA20877	GIH	SAS	True	False	4	1
NA20888	NA20888	GIH	SAS	True	True	5	1
NA20910	NA20910	GIH	SAS	True	False	5	1
NA21101	NA21101	GIH	SAS	True	False	6	1
NA21113	NA21113	GIH	SAS	False	True	4	0
NA21114	NA21114	GIH	SAS	False	True	6	0
NA21116	NA21116	GIH	SAS	False	True	4	0
NA21118	NA21118	GIH	SAS	False	False	6	0
NA21133	NA21133	GIH	SAS	False	True	5	0
NA21143	NA21143	GIH	SAS	True	True	5	1
